#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Programa de emergencia social,231,22759,12/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES DECRETO DE CONCESION 1845/2016 - DECRETO DE APROBACION 1983/2016,100,0
Programa de emergencia social,231,22759,11/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES DECRETO 2449/2016  SEGUN DECRETO DE APROBACION NR 2621/2016,200,0
Programa de emergencia social,231,22759,14/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES Dº CONCESION 1589/2016 - Dº APROBACION 1716/2016,250,0
Programa de emergencia social,231,22759,01/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 2646/2016 - DECRETO DE APROBACION 2844/2016,300,0
Complemento específico,9201,12101,21/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ANTICIPO A CUENTA NOMINA SEGUN DECRETO 2519/2016,400,0
Complemento específico,9201,12101,05/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,REINTEGRO ANTICIPO A CUENTA NOMINA SEGUN DECRETO 2519/2016,-400,0
Programa de emergencia social,231,22759,14/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - Dº CONCESION 1668/2016 - Dº APROBACION 1716/2016,250,0
Actividades culturales,330,22609,01/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PAGO EMBARGO AEAT  -   SUMINISTROS CONCEJALIA DE CULTURA - APROBADO Dº 1813/2016 - NUMERO DE FAC.: 328 DE FECHA OPERACION: 14/07/2016 Y FECHA REG. INTERVENCIÓN: 30/06/2016 Y DECRETO ORDENACION PAGO 1819/2016,399.52,0
Otros gastos diversos,3342,22699,01/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PAGO EMBARGO AEAT   -   SUMINISTROS TERCERA EDAD - APROBADO Dº 1813/2016 - NUMERO DE FAC.: 320 DE FECHA OPERACION: 14/07/2016 Y FECHA REG. INTERVENCIÓN: 30/06/2016 Y DECRETO ORDENACION PAGO 1819/2016,182.51,0
Otros gastos diversos,3342,22699,09/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SUMINISTROS TERCERA EDAD - APROBADO Dº 1813/2016 - NUMERO DE FAC.: 320 DE FECHA OPERACION: 14/07/2016 Y FECHA REG. INTERVENCIÓN: 30/06/2016 Y DECRETO ORDENACION PAGO 1819/2016,370.22,0
Fiestas y eventos populares municipales,338,22735,01/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PAGO EMBARGO AEAT   -   SUMINISTROS  CONCEJALIA DE CULTURA - APROBADO Dº 1813/2016 - NUMERO DE FAC.: 325 DE FECHA OPERACION: 14/07/2016 Y FECHA REG. INTERVENCIÓN: 30/06/2016 Y DECRETO ORDENACION PAGO 1819/2016,360.12,0
Atenciones protocolarias y representativas,912,22601,29/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,PAGO EMBARGO AEAT   -   SUMINISTROS CONCEJALIA DE CULTURA - APROBADO Dº 1742/2016 - NUMERO DE FAC.: 319 DE FECHA OPERACION: 04/07/2016 Y FECHA REG. INTERVENCIÓN: 30/06/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1791/2016,156.6,0
Programa de emergencia social,231,22759,01/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 2704/2016 - DECRETO DE APROBACION 2844/2016,200,0
Programa de emergencia social,231,22759,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES. Dº CONCESION 769/2016 -Dº APROBACION 980/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 981/2016,300,0
Programa de emergencia social,231,22759,25/10/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES Dº CONCESION 2344/2016 - Dº APROBACION 2498/2016,200,0
Otros suministros,130,22199,19/09/2016,A78015880,"API MOVILIDAD , S.A.",SUMINISTRO SEÑALIZACION VERTICAL - APROBADO Dº 2.222/2016 - INFORME DESFAVORABLE INTERVENCION 759/2016,1171.28,0
Instalación de semáforos,130,60900,19/09/2016,A78015880,"API MOVILIDAD , S.A.",EXPTE. 74/15: SUMINISTRO DE SEÑALIZACION VERTICAL  - APROBADA POR DECRETO Nº 2.222/2016 - NUMERO DE FAC.: FVTA287/287N160623 DE FECHA OPERACION: 13/09/2016 Y FECHA REG. INTERVENCIÓN: 30/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2223/2016,1171.28,0
Instalación de semáforos,130,60900,19/09/2016,A78015880,"API MOVILIDAD , S.A.",ANULACION POR ERROR EN LA PARTIDA PRESUPUESTARIA - EXPTE. 74/15: SUMINISTRO DE SEÑALIZACION VERTICAL  - APROBADA POR DECRETO Nº 2.222/2016 - NUMERO DE FAC.: FVTA287/287N160623 DE FECHA OPERACION: 13/09/2016 Y FECHA REG. INTERVENCIÓN: 30/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2223/2016,-1171.28,0
Mantenimiento de equipos para procesos de información,130,21600,15/11/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - RECTIFICATIVA DE Rect-Emit-16/207 / Mantenimiento integral del sistema GESPOL GPSS - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: Rect-Emit-16/207 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 18/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,3398.64,0
Mantenimiento de equipos para procesos de información,130,21600,15/11/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - RECTIFICATIVA DE Rect-Emit-16/209 / Mantenimiento integral del sistema GESPOL GPSS - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: Rect-Emit-16/209 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 18/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,3398.64,0
Mantenimiento de equipos para procesos de información,130,21600,15/11/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - RECTIFICATIVA DE Rect-Emit-16/211 / Mantenimiento integral del sistema GESPOL GPSS - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: Rect-Emit-16/211 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 18/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,3398.64,0
Mantenimiento de equipos para procesos de información,130,21600,15/11/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - RECTIFICATIVA DE Rect-Emit-16/208 / Mantenimiento integral del sistema GESPOL GPSS - APROBADA POR DECRETO 2665/2016  - NUMERO DE FAC.: Rect-Emit-16/208 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 18/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,3398.64,0
Mantenimiento de equipos para procesos de información,130,21600,15/11/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - Mantenimiento integral del sistema GESPOL GPSS - Mayo 2016 / Revisión IPC marzo-abril 2016 - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: Emit-16/234 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 21/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,3362.19,0
Mantenimiento de equipos para procesos de información,130,21600,02/12/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - Mantenimiento integral GESPOL/GPSS - OCTUBRE - APROBADA POR DECRETO 2867/2016 - NUMERO DE FAC.: 2016/295 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 14/11/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2868/2016,3398.64,0
Mantenimiento de equipos para procesos de información,130,21600,29/12/2016,B95837555,"APLICACIONES GESPOL, S.L.",EXP 27/12 - Mantenimiento Gespol - APROBADO POR DECRETO 3126/2016 - NUMERO DE FAC.: 2016/302 DE FECHA OPERACION: 22/12/2016 Y FECHA REG. INTERVENCIÓN: 05/12/2016,3398.64,0
Adquisición de equipos informáticos,330,62605,20/12/2016,B65130643,"APPLE RETAIL SPAIN, S.L.",EXPTE DE COMPRA 213/16 SUMINISTRO MATERIAL INFORMATICO- APROBADO Dº 2911/2016 - NUMERO DE FAC.: 4548867903 DE FECHA OPERACION: 30/11/2016 Y FECHA REG. INTERVENCIÓN: 24/11/2016,1216,0
Adquisición de equipos informáticos,926,62605,05/10/2016,B65130643,"APPLE RETAIL SPAIN, S.L.","EXPTE. COMPRAS 85/16 - 3 IPAD AIR 2 WIFI CELL 16GB SPACE GRAY-ISP (para Concejalía de Deportes, Empleo y Hacienda) _ APROBADO Dº 2208/2016 - NUMERO DE FAC.: 4548835383 DE FECHA OPERACION: 12/09/2016 Y FECHA REG. INTERVENCIÓN: 31/08/2016",1647,0
Mantenimiento de equipos de extinción,9203,21304,23/09/2016,B85047579,"APROMAIN SOLUCIONES, S.L.",EXPTE. COMPRA 15/16 - SUMINISTRO EXTINTORES  - APROBADO POR DECRETO 2208/2016 - NUMERO DE FAC.: 1 016238 DE FECHA OPERACION: 09/09/2016 Y FECHA REG. INTERVENCIÓN: 17/08/2016,131.65,0
"Mobiliario, enseres y equipamiento",340,62508,14/09/2016,B83343806,"ARDI COMPAÑIA ESPAÑOLA DE COMPLEMENTOS, S.L.",EXPTE. COMPRAS 44/2016 - ACCESORIOS EQUIPOS DE SONIDO - APROBADA POR DECRETO 2170/2016 - NUMERO DE FAC.: A/2674 DE FECHA OPERACION: 01/09/2016 Y FECHA REG. INTERVENCIÓN: 11/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2171/2016,5083.42,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES Dº CONCESION 346/2016 - Dº APROBACION 642/2016,300,0
Fiestas y eventos populares municipales,338,22735,05/02/2016,A81349474,ARIETE SEGURIDAD S.A.,SEGURIDAD FIESTA NOCHEVIEJA Y REYES EN PABELLON EL TORREON - APROBADO Dº 155/2016 - NUMERO DE FAC.: 1601F000009 DE FECHA OPERACION: 20/01/2016 Y FECHA REG. INTERVENCIÓN: 13/01/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 156/2016,4147.88,0
Fiestas y eventos populares municipales,338,22735,12/07/2016,A81349474,ARIETE SEGURIDAD S.A.,"SERVCICIO VIGILANCIA Y SEGURIDAD FIESTAS CORPUS, APROBADA CON DECRETO 1636/16 - NUMERO DE FAC.: 1605F000625 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 10/06/2016",1149.5,0
Material prácticas de tiro,130,22121,20/12/2016,J26381897,ARMERIA MARCOS S.C.,SUMINISTRO MATERIAL PARA PRACTICA DE TIRO - APROBADO Dº 2911/2016 - NUMERO DE FAC.: 160876 DE FECHA OPERACION: 30/11/2016 Y FECHA REG. INTERVENCIÓN: 14/11/2016,204.51,0
Formación y perfeccionamiento del personal,221,16200,25/05/2016,J26381897,ARMERIA MARCOS S.C.,CURSO DE ARMERO PARA 49 POLICIAS - APROBADO Dº 1282/2016 - NUMERO DE FAC.: 160717 DE FECHA OPERACION: 12/05/2016 Y FECHA REG. INTERVENCIÓN: 05/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1311/2016,556.6,0
Estudios y trabajos técnicos,9202,22706,14/07/2016,B83845008,"ARNAUDIT, SLP","MN 39/2016 - 40% INICIO TRABAJO REVISIÓN DE ""ENCOMIENDAS DE GESTIÓN A EMUVISA, PARA LA REALIZACIÓN DE GRANDES OBRAS"" - APROBADA POR DECRETO 1772/2016 - NUMERO DE FAC.: 19/2016 DE FECHA OPERACION: 06/07/2016 Y FECHA REG. INTERVENCIÓN: 10/06/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1773/2016",8470,0
"Prensa, revistas, libros y otras publicaciones",3321,22001,09/08/2016,B06652861,"ART DOUMO GLOBAL.,S.L.",PUBLICACION DESCUBRIR EL ARTE PARA CENTRO DE LAS ARTES - APROBADA POR DECRETO 1921/2016 - NUMERO DE FAC.: SA16007-26 DE FECHA OPERACION: 27/07/2016 Y FECHA REG. INTERVENCIÓN: 08/07/2016 Y DECRETO ORDENACION PAGO 1932/2016,40.5,0
Escuela de música,330,22728,18/03/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 ESCUELA MPAL DE MUSICA Y DANZA- APROBADO EN REC 02/2016 - PLENO 25/02/2016 - NUMERO DE FAC.: Emit-/14 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 04/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 687/2016,15622,0
Escuela de música,330,22728,18/03/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 ESCUELA MPAL MUSICA Y DANZA  APROBADO EN REC 02/2016 - PLENO 25-02-16 - NUMERO DE FAC.: Emit-/15 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 04/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 687/2016,1500,0
Escuela de música,330,22728,23/02/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - Servicios de la ESCUELA MUNICIPAL DE DANZA - Enero de 2016 - 164 M y  144 D - APROBADA POR DECRETO 387/2016 - NUMERO DE FAC.: Emit-/17 DE FECHA OPERACION: 12/02/2016 Y FECHA REG. INTERVENCIÓN: 03/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 388/2016,15468,0
Escuela de música,330,22728,23/02/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - 1ª MODIFICACIÓN - Servicios de la ESCUELA MUNICIPAL DE MUSICA Y DANZA -  Enero de 2016 - 20 M -  - APROBADA POR DECRETO 387/2016 - NUMERO DE FAC.: Emit-/18 DE FECHA OPERACION: 12/02/2016 Y FECHA REG. INTERVENCIÓN: 03/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 388/2016,1500,0
Escuela de música,330,22728,18/03/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - FEBRERO 2016 SERVICIOS ESCUELA MUSICA 20 1º MODIFI MUSICA 18 2º MODIF - APROBADA POR DECRETO 677/2016 - NUMERO DE FAC.: Emit-/21 DE FECHA OPERACION: 14/03/2016 Y FECHA REG. INTERVENCIÓN: 26/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 678/2016,1500,0
Escuela de música,330,22728,18/03/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - FEBRERO 2016 - SERVICIOS DE ESCUELA MÚSICA 164 Y DANZA 146 - APROBADA POR DECRETO 677/2016 - NUMERO DE FAC.: Emit-/20 DE FECHA OPERACION: 14/03/2016 Y FECHA REG. INTERVENCIÓN: 26/02/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 678/2016,15512,0
Escuela de música,330,22728,26/04/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - Servicios de la ESCUELA MUNICIPAL DE DANZA - Marzo de 2016 - 164 M - 147 D - APROBADA POR DECRETO 1046/2016 - NUMERO DE FAC.: Emit-/23 DE FECHA OPERACION: 18/04/2016 Y FECHA REG. INTERVENCIÓN: 31/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1047/2016,15534,0
Escuela de música,330,22728,26/04/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - Servicios de la ESCUELA MUNICIPAL DE MÚSICA Y DANZA - mes de Marzo de 2016 1ª y 2ª modificación - 20 M Y 18 D  APROBADA POR DECRETO 1046/2016 - NUMERO DE FAC.: Emit-/24 DE FECHA OPERACION: 18/04/2016 Y FECHA REG. INTERVENCIÓN: 31/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1047/2016,1500,0
Escuela de música,330,22728,20/05/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXPTE. 20/15 1ª MODIFICACIÓN: Servicios de la E.M.M.D. - APROBADA POR DECRETO Nº 1.239/2016 - NUMERO DE FAC.: Emit-/27 DE FECHA OPERACION: 09/05/2016 Y FECHA REG. INTERVENCIÓN: 03/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1240/2016,1500,0
Escuela de música,330,22728,20/05/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXPTE. 20/15: ABRIL - Servicios de la E.M.M.D. - APROBADA POR DECRETO  Nº 1.239/2016 - NUMERO DE FAC.: Emit-/26 DE FECHA OPERACION: 09/05/2016 Y FECHA REG. INTERVENCIÓN: 03/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1240/2016,15270,0
Escuela de música,330,22728,30/06/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - MAYO 2016 - ESCUELA MUNICIPAL DE MUSICA Y DANZA - 20 M 1ª MOD - 18 M 2ª MOD - APROBADA POR DECRETO 1537/2016 - NUMERO DE FAC.: Emit-/30 DE FECHA OPERACION: 09/06/2016 Y FECHA REG. INTERVENCIÓN: 01/06/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1538/2016,1500,0
Escuela de música,330,22728,30/06/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - MAYO 2016 - ESCUELA MUNICIPAL DE MÚSICA Y DANZA - 164 M - 136 D - APROBADA POR DECRETO 1537/2016 - NUMERO DE FAC.: Emit-/29 DE FECHA OPERACION: 09/06/2016 Y FECHA REG. INTERVENCIÓN: 01/06/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1538/2016,15292,0
Escuela de música,330,22728,01/08/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - JUNIO 2016 - ESCUELA MUNICIPAL DE MÚSICA Y DANZA - 164 M - 135 D - APROBADA POR DECRETO 1849/2016  - NUMERO DE FAC.: Emit-/32 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 01/07/2016 Y DECRETO PAGO 1850/2016,15270,0
Escuela de música,330,22728,01/08/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - JUNIO 2016 - ESCUELA MUNICIPAL DE MUSICA Y DANZA - 20 M 1ª MOD - 18 M 2ª MOD - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: Emit-/33 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 01/07/2016 Y DECRETO PAGO 1850/2016,1500,0
Escuela de música,330,22728,29/11/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - SERVIOS ESCUELA DE MUSICA - 164 M - 126 D - OCTUBRE - - APROBADA POR DECRETO 2738/2016 - NUMERO DE FAC.: Emit-/36 DE FECHA OPERACION: 11/11/2016 Y FECHA REG. INTERVENCIÓN: 28/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2739/2016,15072,0
Escuela de música,330,22728,29/11/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP. 20/15 SERVICIO ESCUELA DE MUSICA - 1º y 2ª MODIFICACIÓN -  20 M - 18 M - OCTUBRE - APROBADA POR DECRETO 2738/2016 - NUMERO DE FAC.: Emit-/37 DE FECHA OPERACION: 11/11/2016 Y FECHA REG. INTERVENCIÓN: 28/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2739/2016,1500,0
Escuela de música,330,22728,29/12/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - DICIEMBRE -  Servicios de la E.M.M.D. de Arroyomolinos- 164 M Y 126 D - APROBADA POR DECRETO 3126/2016 - NUMERO DE FAC.: Emit-/42 DE FECHA OPERACION: 22/12/2016 Y FECHA REG. INTERVENCIÓN: 16/12/2016,15072,0
Escuela de música,330,22728,29/12/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - 1ª MODIFICACION - DICIEMBRE - Servicios de la E.M.M.D. - APROBADA POR DECRETO 3126/2016 - NUMERO DE FAC.: Emit-/43 DE FECHA OPERACION: 22/12/2016 Y FECHA REG. INTERVENCIÓN: 16/12/2016,1500,0
Escuela de música,330,22728,29/12/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - Servicios de la ESCUELA MUNICIPAL DE DANZA - noviembre de 2016 - 164 M y  130 D - APROBADA POR DECRETO 3047/2016    - NUMERO DE FAC.: Emit-/39 DE FECHA OPERACION: 16/12/2016 Y FECHA REG. INTERVENCIÓN: 01/12/2016,15160,0
Escuela de música,330,22728,29/12/2016,F86012895,ARTEMUS SDAD. COOP. MAD,EXP 20/15 - NOVIEMBRE 2016 - ESCUELA MUNICIPAL DE MUSICA Y DANZA - 20 M 1ª MOD - 18 M 2ª MOD - APROBADA POR DECRETO 3047/2016   - NUMERO DE FAC.: Emit-/40 DE FECHA OPERACION: 16/12/2016 Y FECHA REG. INTERVENCIÓN: 01/12/2016,1500,0
Publicidad y propaganda,330,22602,03/03/2016,A02065498,"ARTES GRAFICAS SAN MIGUEL, S.A.",EXP 14/14 - PUBLICIDAD CARNAVALES - 9000 FOLIOS A5 - APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: FV160014 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016,554.18,0
Publicidad y propaganda,330,22602,18/03/2016,A02065498,"ARTES GRAFICAS SAN MIGUEL, S.A.","EXP 14/14 - CARTEL PUBLICITARIO - CONCEJALIA CULTURA, FESTEJOS Y PARTICIPACIÓN CIUDADANA APROBADO EN REC 02/2016 - PLENO 25/02/2016 - NUMERO DE FAC.: FV150435 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 11/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 687/2016",269.83,0
